Number_of_Neighbours	Number_of_PCs	Number_of_Cells	Number_of_HVGs	Algorithm.Leiden	Algorithm.Louvain	Algorithm.Walktrap	Exp_Type.Droplet	acceptable_ari
40	9	3652	500	0	0	1	1	0
41	9	3652	500	0	0	1	1	0
42	9	3652	500	0	0	1	1	0
43	9	3652	500	0	0	1	1	0
44	9	3652	500	0	0	1	1	0
45	9	3652	500	0	0	1	1	0
46	9	3652	500	0	0	1	1	0
47	9	3652	500	0	0	1	1	0
48	9	3652	500	0	0	1	1	0
49	9	3652	500	0	0	1	1	0
50	9	3652	500	0	0	1	1	0
1	13	9552	500	0	0	1	1	0
2	13	9552	500	0	0	1	1	0
3	13	9552	500	0	0	1	1	0
4	13	9552	500	0	0	1	1	0
5	13	9552	500	0	0	1	1	0
6	13	9552	500	0	0	1	1	0
7	13	9552	500	0	0	1	1	0
8	13	9552	500	0	0	1	1	0
9	13	9552	500	0	0	1	1	0
10	13	9552	500	0	0	1	1	0
11	13	9552	500	0	0	1	1	0
12	13	9552	500	0	0	1	1	0
13	13	9552	500	0	0	1	1	0
14	13	9552	500	0	0	1	1	0
15	13	9552	500	0	0	1	1	0
16	13	9552	500	0	0	1	1	0
17	13	9552	500	0	0	1	1	0
18	13	9552	500	0	0	1	1	0
19	13	9552	500	0	0	1	1	0
20	13	9552	500	0	0	1	1	0
21	13	9552	500	0	0	1	1	0
22	13	9552	500	0	0	1	1	0
23	13	9552	500	0	0	1	1	0
24	13	9552	500	0	0	1	1	0
25	13	9552	500	0	0	1	1	0
26	13	9552	500	0	0	1	1	0
27	13	9552	500	0	0	1	1	0
28	13	9552	500	0	0	1	1	0
29	13	9552	500	0	0	1	1	0
30	13	9552	500	0	0	1	1	0
31	13	9552	500	0	0	1	1	0
32	13	9552	500	0	0	1	1	0
33	13	9552	500	0	0	1	1	0
34	13	9552	500	0	0	1	1	0
35	13	9552	500	0	0	1	1	0
36	13	9552	500	0	0	1	1	0
37	13	9552	500	0	0	1	1	0
38	13	9552	500	0	0	1	1	0
39	13	9552	500	0	0	1	1	0
40	13	9552	500	0	0	1	1	0
41	13	9552	500	0	0	1	1	0
42	13	9552	500	0	0	1	1	0
43	13	9552	500	0	0	1	1	0
44	13	9552	500	0	0	1	1	0
45	13	9552	500	0	0	1	1	0
46	13	9552	500	0	0	1	1	0
47	13	9552	500	0	0	1	1	0
48	13	9552	500	0	0	1	1	0
49	13	9552	500	0	0	1	1	0
50	13	9552	500	0	0	1	1	0
1	10	1429	500	0	0	1	1	0
2	10	1429	500	0	0	1	1	0
3	10	1429	500	0	0	1	1	0
4	10	1429	500	0	0	1	1	0
5	10	1429	500	0	0	1	1	0
6	10	1429	500	0	0	1	1	0
7	10	1429	500	0	0	1	1	0
8	10	1429	500	0	0	1	1	0
9	10	1429	500	0	0	1	1	0
10	10	1429	500	0	0	1	1	0
11	10	1429	500	0	0	1	1	0
12	10	1429	500	0	0	1	1	0
13	10	1429	500	0	0	1	1	0
14	10	1429	500	0	0	1	1	0
15	10	1429	500	0	0	1	1	0
16	10	1429	500	0	0	1	1	0
17	10	1429	500	0	0	1	1	0
18	10	1429	500	0	0	1	1	0
19	10	1429	500	0	0	1	1	0
20	10	1429	500	0	0	1	1	0
21	10	1429	500	0	0	1	1	0
22	10	1429	500	0	0	1	1	0
23	10	1429	500	0	0	1	1	0
24	10	1429	500	0	0	1	1	0
25	10	1429	500	0	0	1	1	0
26	10	1429	500	0	0	1	1	0
27	10	1429	500	0	0	1	1	0
28	10	1429	500	0	0	1	1	0
29	10	1429	500	0	0	1	1	0
30	10	1429	500	0	0	1	1	0
31	10	1429	500	0	0	1	1	0
32	10	1429	500	0	0	1	1	0
33	10	1429	500	0	0	1	1	0
34	10	1429	500	0	0	1	1	0
35	10	1429	500	0	0	1	1	0
36	10	1429	500	0	0	1	1	0
37	10	1429	500	0	0	1	1	0
38	10	1429	500	0	0	1	1	0
39	10	1429	500	0	0	1	1	0
40	10	1429	500	0	0	1	1	0
41	10	1429	500	0	0	1	1	0
42	10	1429	500	0	0	1	1	0
43	10	1429	500	0	0	1	1	0
44	10	1429	500	0	0	1	1	0
45	10	1429	500	0	0	1	1	0
46	10	1429	500	0	0	1	1	0
47	10	1429	500	0	0	1	1	0
48	10	1429	500	0	0	1	1	0
49	10	1429	500	0	0	1	1	0
50	10	1429	500	0	0	1	1	0
1	47	7538	500	0	0	1	1	0
2	47	7538	500	0	0	1	1	0
3	47	7538	500	0	0	1	1	0
4	47	7538	500	0	0	1	1	0
5	47	7538	500	0	0	1	1	0
6	47	7538	500	0	0	1	1	0
7	47	7538	500	0	0	1	1	0
8	47	7538	500	0	0	1	1	0
9	47	7538	500	0	0	1	1	0
10	47	7538	500	0	0	1	1	0
11	47	7538	500	0	0	1	1	0
12	47	7538	500	0	0	1	1	0
13	47	7538	500	0	0	1	1	0
14	47	7538	500	0	0	1	1	0
15	47	7538	500	0	0	1	1	0
16	47	7538	500	0	0	1	1	0
17	47	7538	500	0	0	1	1	0
18	47	7538	500	0	0	1	1	0
19	47	7538	500	0	0	1	1	0
20	47	7538	500	0	0	1	1	0
21	47	7538	500	0	0	1	1	0
22	47	7538	500	0	0	1	1	0
23	47	7538	500	0	0	1	1	0
24	47	7538	500	0	0	1	1	0
25	47	7538	500	0	0	1	1	0
26	47	7538	500	0	0	1	1	0
27	47	7538	500	0	0	1	1	0
28	47	7538	500	0	0	1	1	0
29	47	7538	500	0	0	1	1	0
30	47	7538	500	0	0	1	1	0
31	47	7538	500	0	0	1	1	0
32	47	7538	500	0	0	1	1	0
33	47	7538	500	0	0	1	1	0
34	47	7538	500	0	0	1	1	0
35	47	7538	500	0	0	1	1	0
36	47	7538	500	0	0	1	1	0
37	47	7538	500	0	0	1	1	0
38	47	7538	500	0	0	1	1	0
39	47	7538	500	0	0	1	1	0
40	47	7538	500	0	0	1	1	0
41	47	7538	500	0	0	1	1	0
42	47	7538	500	0	0	1	1	0
43	47	7538	500	0	0	1	1	0
44	47	7538	500	0	0	1	1	0
45	47	7538	500	0	0	1	1	0
46	47	7538	500	0	0	1	1	0
47	47	7538	500	0	0	1	1	0
48	47	7538	500	0	0	1	1	0
49	47	7538	500	0	0	1	1	0
50	47	7538	500	0	0	1	1	0
1	30	11248	500	0	0	1	1	0
2	30	11248	500	0	0	1	1	0
3	30	11248	500	0	0	1	1	0
4	30	11248	500	0	0	1	1	0
5	30	11248	500	0	0	1	1	0
6	30	11248	500	0	0	1	1	0
7	30	11248	500	0	0	1	1	0
8	30	11248	500	0	0	1	1	0
9	30	11248	500	0	0	1	1	0
10	30	11248	500	0	0	1	1	0
11	30	11248	500	0	0	1	1	0
12	30	11248	500	0	0	1	1	0
13	30	11248	500	0	0	1	1	0
14	30	11248	500	0	0	1	1	0
15	30	11248	500	0	0	1	1	0
16	30	11248	500	0	0	1	1	0
17	30	11248	500	0	0	1	1	0
18	30	11248	500	0	0	1	1	0
19	30	11248	500	0	0	1	1	0
20	30	11248	500	0	0	1	1	0
21	30	11248	500	0	0	1	1	0
22	30	11248	500	0	0	1	1	0
23	30	11248	500	0	0	1	1	0
24	30	11248	500	0	0	1	1	0
25	30	11248	500	0	0	1	1	0
26	30	11248	500	0	0	1	1	0
27	30	11248	500	0	0	1	1	0
28	30	11248	500	0	0	1	1	0
29	30	11248	500	0	0	1	1	0
30	30	11248	500	0	0	1	1	0
31	30	11248	500	0	0	1	1	0
32	30	11248	500	0	0	1	1	0
33	30	11248	500	0	0	1	1	0
34	30	11248	500	0	0	1	1	0
35	30	11248	500	0	0	1	1	0
36	30	11248	500	0	0	1	1	0
37	30	11248	500	0	0	1	1	0
38	30	11248	500	0	0	1	1	0
39	30	11248	500	0	0	1	1	0
40	30	11248	500	0	0	1	1	0
41	30	11248	500	0	0	1	1	0
42	30	11248	500	0	0	1	1	0
43	30	11248	500	0	0	1	1	0
44	30	11248	500	0	0	1	1	0
45	30	11248	500	0	0	1	1	0
46	30	11248	500	0	0	1	1	0
47	30	11248	500	0	0	1	1	0
48	30	11248	500	0	0	1	1	0
49	30	11248	500	0	0	1	1	0
50	30	11248	500	0	0	1	1	0
1	13	7262	500	0	0	1	1	0
2	13	7262	500	0	0	1	1	0
3	13	7262	500	0	0	1	1	0
4	13	7262	500	0	0	1	1	0
5	13	7262	500	0	0	1	1	0
6	13	7262	500	0	0	1	1	0
7	13	7262	500	0	0	1	1	0
8	13	7262	500	0	0	1	1	0
9	13	7262	500	0	0	1	1	0
10	13	7262	500	0	0	1	1	0
11	13	7262	500	0	0	1	1	0
12	13	7262	500	0	0	1	1	0
13	13	7262	500	0	0	1	1	0
14	13	7262	500	0	0	1	1	0
15	13	7262	500	0	0	1	1	0
16	13	7262	500	0	0	1	1	0
17	13	7262	500	0	0	1	1	0
18	13	7262	500	0	0	1	1	0
19	13	7262	500	0	0	1	1	0
20	13	7262	500	0	0	1	1	0
21	13	7262	500	0	0	1	1	0
22	13	7262	500	0	0	1	1	0
